MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Atique Strikers,35/4,Mazhar Konkans,38/2,Mazhar Konkans,8 wickets,https://cricheroes.in/scorecard/166642/Sopara-Premier-League-2018-(Season--2)/Atique-Strikers-vs-Mazhar-Konkans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,38/4,Suhail Blasters,20/5,Naufil K Sultans,18 runs,https://cricheroes.in/scorecard/166653/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,32/3,Atik Bhaijaans,21/8,Habib Royals,11 runs,https://cricheroes.in/scorecard/166647/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Atik-Bhaijaans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Amaan Indians,49/1,Suhail Blasters,22/8,Amaan Indians,27 runs,https://cricheroes.in/scorecard/166649/Sopara-Premier-League-2018-(Season--2)/Amaan-Indians-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,38/3,Mazhar Konkans,29/7,Habib Royals,9 runs,https://cricheroes.in/scorecard/166639/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Mazhar-Konkans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Fouzan Super Kings,31/6,Naufil K Sultans,32/1,Naufil K Sultans,8 wickets,https://cricheroes.in/scorecard/166646/Sopara-Premier-League-2018-(Season--2)/Fouzan-Super-Kings-vs-Naufil-K-Sultans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Atique Strikers,39/2,Atik Bhaijaans,35/2,Atique Strikers,4 runs,https://cricheroes.in/scorecard/166637/Sopara-Premier-League-2018-(Season--2)/Atique-Strikers-vs-Atik-Bhaijaans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Fouzan Super Kings,31/4,Suhail Blasters,25/6,Fouzan Super Kings,6 runs,https://cricheroes.in/scorecard/166638/Sopara-Premier-League-2018-(Season--2)/Fouzan-Super-Kings-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,38/4,Atique Strikers,38/3,Tie,None,https://cricheroes.in/scorecard/166654/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Atique-Strikers
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,37/3,Amaan Indians,21/6,Naufil K Sultans,16 runs,https://cricheroes.in/scorecard/171152/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Amaan-Indians
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,None,Amaan Indians,None,None,None,https://cricheroes.in/match-detail/Naufil-K-Sultans/Amaan-Indians/151352/116549/170569
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,30/5,Habib Royals,19/5,Naufil K Sultans,11 runs,https://cricheroes.in/scorecard/170174/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Habib-Royals
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,44/0,Atique Strikers,24/6,Naufil K Sultans,20 runs,https://cricheroes.in/scorecard/170173/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Atique-Strikers
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Habib Royals,25/3,Amaan Indians,26/3,Amaan Indians,8 wickets,https://cricheroes.in/scorecard/170170/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Amaan-Indians
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Fouzan Super Kings,22/9,Amaan Indians,24/2,Amaan Indians,7 wickets,https://cricheroes.in/scorecard/166640/Sopara-Premier-League-2018-(Season--2)/Fouzan-Super-Kings-vs-Amaan-Indians
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Atique Strikers,35/4,Mazhar Konkans,38/2,Mazhar Konkans,8 wickets,https://cricheroes.in/scorecard/166642/Sopara-Premier-League-2018-(Season--2)/Atique-Strikers-vs-Mazhar-Konkans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 04-Nov-18, 4 Ov., ",Naufil K Sultans,38/4,Suhail Blasters,20/5,Naufil K Sultans,18 runs,https://cricheroes.in/scorecard/166653/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,32/3,Atik Bhaijaans,21/8,Habib Royals,11 runs,https://cricheroes.in/scorecard/166647/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Atik-Bhaijaans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Amaan Indians,49/1,Suhail Blasters,22/8,Amaan Indians,27 runs,https://cricheroes.in/scorecard/166649/Sopara-Premier-League-2018-(Season--2)/Amaan-Indians-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,38/3,Mazhar Konkans,29/7,Habib Royals,9 runs,https://cricheroes.in/scorecard/166639/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Mazhar-Konkans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Fouzan Super Kings,31/6,Naufil K Sultans,32/1,Naufil K Sultans,8 wickets,https://cricheroes.in/scorecard/166646/Sopara-Premier-League-2018-(Season--2)/Fouzan-Super-Kings-vs-Naufil-K-Sultans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Atique Strikers,39/2,Atik Bhaijaans,35/2,Atique Strikers,4 runs,https://cricheroes.in/scorecard/166637/Sopara-Premier-League-2018-(Season--2)/Atique-Strikers-vs-Atik-Bhaijaans
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Fouzan Super Kings,31/4,Suhail Blasters,25/6,Fouzan Super Kings,6 runs,https://cricheroes.in/scorecard/166638/Sopara-Premier-League-2018-(Season--2)/Fouzan-Super-Kings-vs-Suhail-Blasters
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 03-Nov-18, 4 Ov., ",Habib Royals,38/4,Atique Strikers,38/3,Tie,None,https://cricheroes.in/scorecard/166654/Sopara-Premier-League-2018-(Season--2)/Habib-Royals-vs-Atique-Strikers
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 02-Nov-18, 4 Ov., ",Naufil K Sultans,31/2,Amaan Indians,32/1,Amaan Indians,8 wickets,https://cricheroes.in/scorecard/166636/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Amaan-Indians
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 02-Nov-18, 4 Ov., ",Mazhar Konkans,29/3,Atik Bhaijaans,30/0,Atik Bhaijaans,9 wickets,https://cricheroes.in/scorecard/166650/Sopara-Premier-League-2018-(Season--2)/Mazhar-Konkans-vs-Atik-Bhaijaans
Individual Match,"Suncity Vasai Cricket Ground, Vasai, 16-Jun-18, 20 Ov.",WestDelhi cricket academy,87/3,Kooh knights 123,27/1,WestDelhi cricket academy,60 runs,https://cricheroes.in/scorecard/112830/individual/WestDelhi-cricket-academy-vs-Kooh-knights-123
SNPL 2018,"Chulna Turf, Vasai, 03-Jun-18, 4 Ov., ",Nishkam 36,44/3,Jagrat Defenders,42/5,Nishkam 36,2 runs,https://cricheroes.in/scorecard/106363/SNPL-2018/Nishkam-36-vs-Jagrat-Defenders
SNPL 2018,"Chulna Turf, Vasai, 03-Jun-18, 4 Ov., ",Bhakti Super Kings,24/4,Anirdeshi Avengers,25/1,Anirdeshi Avengers,8 wickets,https://cricheroes.in/scorecard/106362/SNPL-2018/Bhakti-Super-Kings-vs-Anirdeshi-Avengers
SNPL 2018,"Chulna Turf, Vasai, 31-May-18, 5 Ov., ",Bhakti Super Kings,"<span class=""yet-to-bat"">Yet to bat</span>",A- Mayik Achievers,"<span class=""yet-to-bat"">Yet to bat</span>",Abandoned,None,https://cricheroes.in/scorecard/104977/SNPL-2018/Bhakti-Super-Kings-vs-A--Mayik-Achievers
NPL (Vasai) 2018,"NES Vasai SRLG1, Vasai, 05-May-18, 3 Ov., ",81s Volcanos,9/5,1987 Batch,10/2,1987 Batch,3 wickets,https://cricheroes.in/scorecard/90257/NPL-(Vasai)-2018/81s-Volcanos-vs-1987-Batch
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 5 Ov., ",Desai A,59/4,SuratA,58/3,Desai A,1 run,https://cricheroes.in/scorecard/77897/VGDS-2018/Desai-A-vs-SuratA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 10 Ov., ",Kelwa A CC,114/5,Mahim CSC,115/6,Mahim CSC,4 wickets,https://cricheroes.in/scorecard/77846/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-Mahim-CSC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",Desai A,64/6,VadaliB,50/6,Desai A,14 runs,https://cricheroes.in/scorecard/77837/VGDS-2018/Desai-A-vs-VadaliB
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",PatanC,50/6,SuratA,51/3,SuratA,7 wickets,https://cricheroes.in/scorecard/77804/VGDS-2018/PatanC-vs-SuratA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Mahim CSC,123/6,S K Vasai CC,84/6,Mahim CSC,39 runs,https://cricheroes.in/scorecard/77746/Vadaval--Premier-League-2018/Mahim-CSC-vs-S-K-Vasai-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Kelwa A CC,114/6,S K Virar CC,101/9,Kelwa A CC,13 runs,https://cricheroes.in/scorecard/77752/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-S-K-Virar-CC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",SuratA,54/2,Vadali A,23/3,SuratA,31 runs,https://cricheroes.in/scorecard/77703/VGDS-2018/SuratA-vs-Vadali-A
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",VadaliB,72/4,IdarA,55/6,VadaliB,17 runs,https://cricheroes.in/scorecard/77687/VGDS-2018/VadaliB-vs-IdarA
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 02-Nov-18, 4 Ov., ",Naufil K Sultans,31/2,Amaan Indians,32/1,Amaan Indians,8 wickets,https://cricheroes.in/scorecard/166636/Sopara-Premier-League-2018-(Season--2)/Naufil-K-Sultans-vs-Amaan-Indians
Sopara Premier League 2018 (Season -2),"Dada Karari Ground, Vasai, 02-Nov-18, 4 Ov., ",Mazhar Konkans,29/3,Atik Bhaijaans,30/0,Atik Bhaijaans,9 wickets,https://cricheroes.in/scorecard/166650/Sopara-Premier-League-2018-(Season--2)/Mazhar-Konkans-vs-Atik-Bhaijaans
Individual Match,"Suncity Vasai Cricket Ground, Vasai, 16-Jun-18, 20 Ov.",WestDelhi cricket academy,87/3,Kooh knights 123,27/1,WestDelhi cricket academy,60 runs,https://cricheroes.in/scorecard/112830/individual/WestDelhi-cricket-academy-vs-Kooh-knights-123
SNPL 2018,"Chulna Turf, Vasai, 03-Jun-18, 4 Ov., ",Nishkam 36,44/3,Jagrat Defenders,42/5,Nishkam 36,2 runs,https://cricheroes.in/scorecard/106363/SNPL-2018/Nishkam-36-vs-Jagrat-Defenders
SNPL 2018,"Chulna Turf, Vasai, 03-Jun-18, 4 Ov., ",Bhakti Super Kings,24/4,Anirdeshi Avengers,25/1,Anirdeshi Avengers,8 wickets,https://cricheroes.in/scorecard/106362/SNPL-2018/Bhakti-Super-Kings-vs-Anirdeshi-Avengers
SNPL 2018,"Chulna Turf, Vasai, 31-May-18, 5 Ov., ",Bhakti Super Kings,"<span class=""yet-to-bat"">Yet to bat</span>",A- Mayik Achievers,"<span class=""yet-to-bat"">Yet to bat</span>",Abandoned,None,https://cricheroes.in/scorecard/104977/SNPL-2018/Bhakti-Super-Kings-vs-A--Mayik-Achievers
NPL (Vasai) 2018,"NES Vasai SRLG1, Vasai, 05-May-18, 3 Ov., ",81s Volcanos,9/5,1987 Batch,10/2,1987 Batch,3 wickets,https://cricheroes.in/scorecard/90257/NPL-(Vasai)-2018/81s-Volcanos-vs-1987-Batch
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 5 Ov., ",Desai A,59/4,SuratA,58/3,Desai A,1 run,https://cricheroes.in/scorecard/77897/VGDS-2018/Desai-A-vs-SuratA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 10 Ov., ",Kelwa A CC,114/5,Mahim CSC,115/6,Mahim CSC,4 wickets,https://cricheroes.in/scorecard/77846/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-Mahim-CSC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",Desai A,64/6,VadaliB,50/6,Desai A,14 runs,https://cricheroes.in/scorecard/77837/VGDS-2018/Desai-A-vs-VadaliB
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",PatanC,50/6,SuratA,51/3,SuratA,7 wickets,https://cricheroes.in/scorecard/77804/VGDS-2018/PatanC-vs-SuratA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Mahim CSC,123/6,S K Vasai CC,84/6,Mahim CSC,39 runs,https://cricheroes.in/scorecard/77746/Vadaval--Premier-League-2018/Mahim-CSC-vs-S-K-Vasai-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Kelwa A CC,114/6,S K Virar CC,101/9,Kelwa A CC,13 runs,https://cricheroes.in/scorecard/77752/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-S-K-Virar-CC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",SuratA,54/2,Vadali A,23/3,SuratA,31 runs,https://cricheroes.in/scorecard/77703/VGDS-2018/SuratA-vs-Vadali-A
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",VadaliB,72/4,IdarA,55/6,VadaliB,17 runs,https://cricheroes.in/scorecard/77687/VGDS-2018/VadaliB-vs-IdarA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",S K Virar CC,127/3,Tarapur CC,83/9,S K Virar CC,44 runs,https://cricheroes.in/scorecard/77110/Vadaval--Premier-League-2018/S-K-Virar-CC-vs-Tarapur-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Mahim CSC,108/7,Chinchani CC,37/10,Mahim CSC,71 runs,https://cricheroes.in/scorecard/77109/Vadaval--Premier-League-2018/Mahim-CSC-vs-Chinchani-CC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",Vanja C,40/2,IdarA,41/1,IdarA,11 wickets,https://cricheroes.in/scorecard/77587/VGDS-2018/Vanja-C-vs-IdarA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",S K Vasai CC,130/6,Umela CSC,84/8,S K Vasai CC,46 runs,https://cricheroes.in/scorecard/77108/Vadaval--Premier-League-2018/S-K-Vasai-CC-vs-Umela-CSC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Kelwa A CC,135/3,Mathane CC,64/10,Kelwa A CC,71 runs,https://cricheroes.in/scorecard/77106/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-Mathane-CC
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",PatanC,71/3,IdarB,50/4,PatanC,21 runs,https://cricheroes.in/scorecard/77094/VGDS-2018/PatanC-vs-IdarB
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",VGDS,59/2,Vadali A,60/2,Vadali A,9 wickets,https://cricheroes.in/scorecard/77061/VGDS-2018/VGDS-vs-Vadali-A
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 07-Apr-18, 12 Ov., ",Vasalai CC,53/10,Mathane CC,54/0,Mathane CC,10 wickets,https://cricheroes.in/scorecard/75080/Vadaval--Premier-League-2018/Vasalai-CC-vs-Mathane-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 07-Apr-18, 12 Ov., ",S K Vasai CC,98/4,Saphale CC,96/10,S K Vasai CC,2 runs,https://cricheroes.in/scorecard/75079/Vadaval--Premier-League-2018/S-K-Vasai-CC-vs-Saphale-CC
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",SuratA,84/3,Idar C,34/8,SuratA,50 runs,https://cricheroes.in/scorecard/75705/VGDS-2018/SuratA-vs-Idar-C
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",Baresi D,52/6,IdarA,55/1,IdarA,11 wickets,https://cricheroes.in/scorecard/75694/VGDS-2018/Baresi-D-vs-IdarA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 07-Apr-18, 12 Ov., ",Aagashi CSC,65/10,Saphale CC,67/0,Saphale CC,10 wickets,https://cricheroes.in/scorecard/75077/Vadaval--Premier-League-2018/Aagashi-CSC-vs-Saphale-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 07-Apr-18, 12 Ov., ",Shirgaon CC,118/5,Mathane CC,119/5,Mathane CC,5 wickets,https://cricheroes.in/scorecard/75078/Vadaval--Premier-League-2018/Shirgaon-CC-vs-Mathane-CC
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",VadaliB,49/3,Patan B,39/7,VadaliB,10 runs,https://cricheroes.in/scorecard/75691/VGDS-2018/VadaliB-vs-Patan-B
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",Wanjac,74/4,Idar D,46/5,Wanjac,28 runs,https://cricheroes.in/scorecard/76882/VGDS-2018/Wanjac-vs-Idar-D
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",S K Virar CC,127/3,Tarapur CC,83/9,S K Virar CC,44 runs,https://cricheroes.in/scorecard/77110/Vadaval--Premier-League-2018/S-K-Virar-CC-vs-Tarapur-CC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Mahim CSC,108/7,Chinchani CC,37/10,Mahim CSC,71 runs,https://cricheroes.in/scorecard/77109/Vadaval--Premier-League-2018/Mahim-CSC-vs-Chinchani-CC
VGDS 2018,"Umelman, Vasai, 08-Apr-18, 6 Ov., ",Vanja C,40/2,IdarA,41/1,IdarA,11 wickets,https://cricheroes.in/scorecard/77587/VGDS-2018/Vanja-C-vs-IdarA
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",S K Vasai CC,130/6,Umela CSC,84/8,S K Vasai CC,46 runs,https://cricheroes.in/scorecard/77108/Vadaval--Premier-League-2018/S-K-Vasai-CC-vs-Umela-CSC
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 08-Apr-18, 12 Ov., ",Kelwa A CC,135/3,Mathane CC,64/10,Kelwa A CC,71 runs,https://cricheroes.in/scorecard/77106/Vadaval--Premier-League-2018/Kelwa-A-CC-vs-Mathane-CC
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",PatanC,71/3,IdarB,50/4,PatanC,21 runs,https://cricheroes.in/scorecard/77094/VGDS-2018/PatanC-vs-IdarB
VGDS 2018,"Umelman, Vasai, 07-Apr-18, 6 Ov., ",VGDS,59/2,Vadali A,60/2,Vadali A,9 wickets,https://cricheroes.in/scorecard/77061/VGDS-2018/VGDS-vs-Vadali-A
Vadaval  Premier League 2018,"Chimaji Appa Cricket Ground, Vasai, 07-Apr-18, 12 Ov., ",Vasalai CC,53/10,Mathane CC,54/0,Mathane CC,10 wickets,https://cricheroes.in/scorecard/75080/Vadaval--Premier-League-2018/Vasalai-CC-vs-Mathane-CC
