MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
Pramukh Greens Premiere League,"Pramukh Greens, Vapi, 24-Jan-21, 8 Ov., ",Pramukh Strikers B,111/1,Pramukh Fighters A,78/1,Pramukh Strikers B,33 runs,https://cricheroes.in/scorecard/1422773/Pramukh-Greens-Premiere-League/Pramukh-Strikers-B-vs-Pramukh-Fighters-A
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Jala_Sai_11,74/4,Krishna_Super_Kings,67/7,Jala_Sai_11,7 runs,https://cricheroes.in/scorecard/1427594/Jana-Premier-League/Jala_Sai_11-vs-Krishna_Super_Kings
Pramukh Greens Premiere League,"Pramukh Greens, Vapi, 24-Jan-21, 6 Ov., ",Pramukh Challengers D,72/3,Pramukh Fighters A,71/2,Pramukh Challengers D,1 run,https://cricheroes.in/scorecard/1422806/Pramukh-Greens-Premiere-League/Pramukh-Challengers-D-vs-Pramukh-Fighters-A
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Ziya Strikers,61/4,Shiv_Shakti_11,41/7,Ziya Strikers,20 runs,https://cricheroes.in/scorecard/1427588/Jana-Premier-League/Ziya-Strikers-vs-Shiv_Shakti_11
Pramukh Greens Premiere League,"Pramukh Greens, Vapi, 24-Jan-21, 6 Ov., ",Pramukh Strikers B,84/2,Pramukh Challengers D,67/1,Pramukh Strikers B,17 runs,https://cricheroes.in/scorecard/1422791/Pramukh-Greens-Premiere-League/Pramukh-Strikers-B-vs-Pramukh-Challengers-D
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Ziya Strikers,60/2,Jala_Sai_11,56/2,Ziya Strikers,4 runs,https://cricheroes.in/scorecard/1427585/Jana-Premier-League/Ziya-Strikers-vs-Jala_Sai_11
Pramukh Greens Premiere League,"Pramukh Greens, Vapi, 24-Jan-21, 6 Ov., ",Pramukh Warriors C,61/3,Pramukh Fighters A,62/2,Pramukh Fighters A,7 wickets,https://cricheroes.in/scorecard/1422786/Pramukh-Greens-Premiere-League/Pramukh-Warriors-C-vs-Pramukh-Fighters-A
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Shiv_Shakti_11,56/8,Krishna_Super_Kings,57/0,Krishna_Super_Kings,10 wickets,https://cricheroes.in/scorecard/1427579/Jana-Premier-League/Shiv_Shakti_11-vs-Krishna_Super_Kings
Pramukh Greens Premiere League,"Pramukh Greens, Vapi, 24-Jan-21, 8 Ov., ",Pramukh Warriors C,104/3,Pramukh Challengers D,101/6,Pramukh Warriors C,3 runs,https://cricheroes.in/scorecard/1422779/Pramukh-Greens-Premiere-League/Pramukh-Warriors-C-vs-Pramukh-Challengers-D
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Ziya Strikers,61/2,Krishna_Super_Kings,62/1,Krishna_Super_Kings,9 wickets,https://cricheroes.in/scorecard/1427569/Jana-Premier-League/Ziya-Strikers-vs-Krishna_Super_Kings
Jana Premier League,"NCG Ambheti, Vapi, 24-Jan-21, 6 Ov., ",Shiv_Shakti_11,77/5,Jala_Sai_11,66/3,Shiv_Shakti_11,11 runs,https://cricheroes.in/scorecard/1427565/Jana-Premier-League/Shiv_Shakti_11-vs-Jala_Sai_11
Individual Match,"Valwada Cricket Ground, Vapi, 23-Jan-21, 25 Ov.",Dream 11 2020,250/3,Sanjan 11,216/8,Dream 11 2020,34 runs,https://cricheroes.in/scorecard/1421444/individual/Dream-11-2020-vs-Sanjan-11
Individual Match,"V I A Ground, Vapi, 21-Jan-21, 50 Ov.",Vapi Team 11,152/10,Yadav 11 Yadav,145/10,Vapi Team 11,7 runs,https://cricheroes.in/scorecard/1412568/individual/Vapi-Team-11-vs-Yadav-11-Yadav
Individual Match,"KK BHANDARI PARTY PLOT & CRICKET GROUND, Vapi, 20-Jan-21, 35 Ov.",KK Cricket Academy Vapi,148/10,Yadav 11 Vapi,149/7,Yadav 11 Vapi,3 wickets,https://cricheroes.in/scorecard/1408625/individual/KK-Cricket-Academy-Vapi-vs-Yadav-11-Vapi
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SUPAR GIANT,57/6,JAY_BHAVANI_11,61/0,JAY_BHAVANI_11,10 wickets,https://cricheroes.in/scorecard/1399155/BMPL-2021/SUPAR-GIANT-vs-JAY_BHAVANI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",LOTUS HOSPITAL Valsad,56/4,Olive Hospital.,61/1,Olive Hospital.,9 wickets,https://cricheroes.in/scorecard/1399053/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/LOTUS-HOSPITAL-Valsad-vs-Olive-Hospital.
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SAI_11,39/10,SUPAR GIANT,41/5,SUPAR GIANT,5 wickets,https://cricheroes.in/scorecard/1380747/BMPL-2021/SAI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",KVRM A.,86/6,LOTUS HOSPITAL Valsad,81/5,KVRM A.,5 runs,https://cricheroes.in/scorecard/1366722/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/KVRM-A.-vs-LOTUS-HOSPITAL-Valsad
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,58/5,SAI_11,52/9,JAY_BHAVANI_11,6 runs,https://cricheroes.in/scorecard/1380741/BMPL-2021/JAY_BHAVANI_11-vs-SAI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Janseva Hospital Vapi,88/3,VIBRANT MULTI SPECIALITY HOSPITAL,68/6,Janseva Hospital Vapi,20 runs,https://cricheroes.in/scorecard/1366718/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Janseva-Hospital-Vapi-vs-VIBRANT-MULTI-SPECIALITY-HOSPITAL
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,85/7,SUPAR GIANT,78/5,JAY_BHAVANI_11,7 runs,https://cricheroes.in/scorecard/1380752/BMPL-2021/JAY_BHAVANI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",KVRM A.,74/8,Spandan Hospital.navsari,79/5,Spandan Hospital.navsari,5 wickets,https://cricheroes.in/scorecard/1366711/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/KVRM-A.-vs-Spandan-Hospital.navsari
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SAI_11,51/7,SUPAR GIANT,55/6,SUPAR GIANT,4 wickets,https://cricheroes.in/scorecard/1380731/BMPL-2021/SAI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Olive Hospital.,87/6,Janseva Hospital Vapi,79/4,Olive Hospital.,8 runs,https://cricheroes.in/scorecard/1366708/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Olive-Hospital.-vs-Janseva-Hospital-Vapi
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SUPAR GIANT,57/8,JAY_BHAVANI_11,60/2,JAY_BHAVANI_11,8 wickets,https://cricheroes.in/scorecard/1380727/BMPL-2021/SUPAR-GIANT-vs-JAY_BHAVANI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Spandan Hospital.navsari,55/5,LOTUS HOSPITAL Valsad,57/2,LOTUS HOSPITAL Valsad,8 wickets,https://cricheroes.in/scorecard/1366701/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Spandan-Hospital.navsari-vs-LOTUS-HOSPITAL-Valsad
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,45/4,SAI_11,49/2,SAI_11,8 wickets,https://cricheroes.in/scorecard/1380715/BMPL-2021/JAY_BHAVANI_11-vs-SAI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Olive Hospital.,96/2,VIBRANT MULTI SPECIALITY HOSPITAL,37/7,Olive Hospital.,59 runs,https://cricheroes.in/scorecard/1366698/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Olive-Hospital.-vs-VIBRANT-MULTI-SPECIALITY-HOSPITAL
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,133/3,P C11,101/3,Rudra Hurricane 2021,32 runs,https://cricheroes.in/scorecard/1381811/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 5 Ov., ",Jwal Tigers,47/6,P C11,48/1,P C11,9 wickets,https://cricheroes.in/scorecard/1381609/Kapariya-Premier-League/Jwal-Tigers-vs-P-C11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",LOTUS HOSPITAL Valsad,56/4,Olive Hospital.,61/1,Olive Hospital.,9 wickets,https://cricheroes.in/scorecard/1399053/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/LOTUS-HOSPITAL-Valsad-vs-Olive-Hospital.
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SAI_11,39/10,SUPAR GIANT,41/5,SUPAR GIANT,5 wickets,https://cricheroes.in/scorecard/1380747/BMPL-2021/SAI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",KVRM A.,86/6,LOTUS HOSPITAL Valsad,81/5,KVRM A.,5 runs,https://cricheroes.in/scorecard/1366722/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/KVRM-A.-vs-LOTUS-HOSPITAL-Valsad
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,58/5,SAI_11,52/9,JAY_BHAVANI_11,6 runs,https://cricheroes.in/scorecard/1380741/BMPL-2021/JAY_BHAVANI_11-vs-SAI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Janseva Hospital Vapi,88/3,VIBRANT MULTI SPECIALITY HOSPITAL,68/6,Janseva Hospital Vapi,20 runs,https://cricheroes.in/scorecard/1366718/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Janseva-Hospital-Vapi-vs-VIBRANT-MULTI-SPECIALITY-HOSPITAL
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,85/7,SUPAR GIANT,78/5,JAY_BHAVANI_11,7 runs,https://cricheroes.in/scorecard/1380752/BMPL-2021/JAY_BHAVANI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",KVRM A.,74/8,Spandan Hospital.navsari,79/5,Spandan Hospital.navsari,5 wickets,https://cricheroes.in/scorecard/1366711/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/KVRM-A.-vs-Spandan-Hospital.navsari
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SAI_11,51/7,SUPAR GIANT,55/6,SUPAR GIANT,4 wickets,https://cricheroes.in/scorecard/1380731/BMPL-2021/SAI_11-vs-SUPAR-GIANT
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Olive Hospital.,87/6,Janseva Hospital Vapi,79/4,Olive Hospital.,8 runs,https://cricheroes.in/scorecard/1366708/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Olive-Hospital.-vs-Janseva-Hospital-Vapi
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",SUPAR GIANT,57/8,JAY_BHAVANI_11,60/2,JAY_BHAVANI_11,8 wickets,https://cricheroes.in/scorecard/1380727/BMPL-2021/SUPAR-GIANT-vs-JAY_BHAVANI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Spandan Hospital.navsari,55/5,LOTUS HOSPITAL Valsad,57/2,LOTUS HOSPITAL Valsad,8 wickets,https://cricheroes.in/scorecard/1366701/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Spandan-Hospital.navsari-vs-LOTUS-HOSPITAL-Valsad
BMPL 2021,"NCG Ambheti, Vapi, 17-Jan-21, 6 Ov., ",JAY_BHAVANI_11,45/4,SAI_11,49/2,SAI_11,8 wickets,https://cricheroes.in/scorecard/1380715/BMPL-2021/JAY_BHAVANI_11-vs-SAI_11
VAPI HOSPITAL PREMIER  LEAGUE 2021 SEASON  1,"K K Cricket Academy, Vapi, 17-Jan-21, 8 Ov., ",Olive Hospital.,96/2,VIBRANT MULTI SPECIALITY HOSPITAL,37/7,Olive Hospital.,59 runs,https://cricheroes.in/scorecard/1366698/VAPI-HOSPITAL-PREMIER--LEAGUE-2021-SEASON--1/Olive-Hospital.-vs-VIBRANT-MULTI-SPECIALITY-HOSPITAL
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,133/3,P C11,101/3,Rudra Hurricane 2021,32 runs,https://cricheroes.in/scorecard/1381811/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 5 Ov., ",Jwal Tigers,47/6,P C11,48/1,P C11,9 wickets,https://cricheroes.in/scorecard/1381609/Kapariya-Premier-League/Jwal-Tigers-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Jwal Tigers,81/3,Dk Riders Xi,60/5,Jwal Tigers,21 runs,https://cricheroes.in/scorecard/1381277/Kapariya-Premier-League/Jwal-Tigers-vs-Dk-Riders-Xi
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,74/4,P C11,63/2,Rudra Hurricane 2021,11 runs,https://cricheroes.in/scorecard/1381001/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Jwal Tigers,78/3,Spartan Sprit,56/8,Jwal Tigers,22 runs,https://cricheroes.in/scorecard/1374081/Kapariya-Premier-League/Jwal-Tigers-vs-Spartan-Sprit
T20-series 2021 Dhasri,"Dhasri ground, Vapi, 14-Jan-21, 20 Ov., ",Super Man Cc,229/8,Amkai Cc,99/12,Super Man Cc,130 runs,https://cricheroes.in/scorecard/1380236/T20-series-2021-Dhasri/Super-Man-Cc-vs-Amkai-Cc
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,77/3,P C11,78/4,P C11,6 wickets,https://cricheroes.in/scorecard/1374076/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Dk Riders Xi,82/3,Jwal Tigers,52/9,Dk Riders Xi,30 runs,https://cricheroes.in/scorecard/1374072/Kapariya-Premier-League/Dk-Riders-Xi-vs-Jwal-Tigers
Individual Match,"Kc Cricket Ground, Vapi, 14-Jan-21, 35 Ov.",Siroha Strikers,334/5,Balli Blasters vapi,220/10,Siroha Strikers,114 runs,https://cricheroes.in/scorecard/1379769/individual/Siroha-Strikers-vs-Balli-Blasters-vapi
Individual Match,"KK BHANDARI PARTY PLOT & CRICKET GROUND, Vapi, 14-Jan-21, 30 Ov.",KK Cricket Academy Vapi,206/10,Vibrant Vapi Cricket Team,166/10,KK Cricket Academy Vapi,40 runs,https://cricheroes.in/scorecard/1379638/individual/KK-Cricket-Academy-Vapi-vs-Vibrant-Vapi-Cricket-Team
P-V Gram Panchayat,"Pandor Cricket Ground, Vapi, 14-Jan-21, 4 Ov., ",Nilu X1,8/8,Subhash Xll,9/1,Subhash Xll,9 wickets,https://cricheroes.in/scorecard/1374065/P-V-Gram-Panchayat/Nilu-X1-vs-Subhash-Xll
Individual Match,"Pandor Cricket Ground, Vapi, 13-Jan-21, 1 Ov.",Ksjdbdndnd,19/0,Agshdhdjdjdndbdb,19/0,Tie,None,https://cricheroes.in/scorecard/1378491/individual/Ksjdbdndnd-vs-Agshdhdjdjdndbdb
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 13-Jan-21, 6 Ov., ",Rudra Hurricane 2021,69/4,Spartan Sprit,33/7,Rudra Hurricane 2021,36 runs,https://cricheroes.in/scorecard/1374059/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-Spartan-Sprit
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 13-Jan-21, 6 Ov., ",Dk Riders Xi,46/6,P C11,49/0,P C11,10 wickets,https://cricheroes.in/scorecard/1374052/Kapariya-Premier-League/Dk-Riders-Xi-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 13-Jan-21, 6 Ov., ",Rudra Hurricane 2021,96/4,Jwal Tigers,69/4,Rudra Hurricane 2021,27 runs,https://cricheroes.in/scorecard/1374046/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-Jwal-Tigers
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 13-Jan-21, 6 Ov., ",Spartan Sprit,69/4,Dk Riders Xi,70/2,Dk Riders Xi,8 wickets,https://cricheroes.in/scorecard/1374042/Kapariya-Premier-League/Spartan-Sprit-vs-Dk-Riders-Xi
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 13-Jan-21, 6 Ov., ",Jwal Tigers,57/6,P C11,58/1,P C11,9 wickets,https://cricheroes.in/scorecard/1374038/Kapariya-Premier-League/Jwal-Tigers-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Jwal Tigers,81/3,Dk Riders Xi,60/5,Jwal Tigers,21 runs,https://cricheroes.in/scorecard/1381277/Kapariya-Premier-League/Jwal-Tigers-vs-Dk-Riders-Xi
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,74/4,P C11,63/2,Rudra Hurricane 2021,11 runs,https://cricheroes.in/scorecard/1381001/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Jwal Tigers,78/3,Spartan Sprit,56/8,Jwal Tigers,22 runs,https://cricheroes.in/scorecard/1374081/Kapariya-Premier-League/Jwal-Tigers-vs-Spartan-Sprit
T20-series 2021 Dhasri,"Dhasri ground, Vapi, 14-Jan-21, 20 Ov., ",Super Man Cc,229/8,Amkai Cc,99/12,Super Man Cc,130 runs,https://cricheroes.in/scorecard/1380236/T20-series-2021-Dhasri/Super-Man-Cc-vs-Amkai-Cc
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Rudra Hurricane 2021,77/3,P C11,78/4,P C11,6 wickets,https://cricheroes.in/scorecard/1374076/Kapariya-Premier-League/Rudra-Hurricane-2021-vs-P-C11
Kapariya Premier League,"Naitik Cricket Ground, Vapi, 14-Jan-21, 6 Ov., ",Dk Riders Xi,82/3,Jwal Tigers,52/9,Dk Riders Xi,30 runs,https://cricheroes.in/scorecard/1374072/Kapariya-Premier-League/Dk-Riders-Xi-vs-Jwal-Tigers
Individual Match,"Kc Cricket Ground, Vapi, 14-Jan-21, 35 Ov.",Siroha Strikers,334/5,Balli Blasters vapi,220/10,Siroha Strikers,114 runs,https://cricheroes.in/scorecard/1379769/individual/Siroha-Strikers-vs-Balli-Blasters-vapi
Individual Match,"KK BHANDARI PARTY PLOT & CRICKET GROUND, Vapi, 14-Jan-21, 30 Ov.",KK Cricket Academy Vapi,206/10,Vibrant Vapi Cricket Team,166/10,KK Cricket Academy Vapi,40 runs,https://cricheroes.in/scorecard/1379638/individual/KK-Cricket-Academy-Vapi-vs-Vibrant-Vapi-Cricket-Team
